x,y
1.816617139,8.628446
2.910830978,9.814468
0.52336359,3.267981
1.427366346,6.237282
2.173443618,9.175347
2.628308016,10.001064
1.132511025,3.526098
1.922808607,8.268346
1.964031596,6.966502
1.518647378,6.18891
0.910043139,4.693662
2.148749041,8.583369
0.871560465,5.929547
0.588675698,2.859877
0.967735691,4.813658
2.521283686,10.569102
0.004785291,1.481629
0.495870255,1.028052
0.66449197,3.949099
0.706095344,5.322015
2.478035028,9.650955
0.941858819,3.974221
1.161056508,6.818404
1.594047979,5.919883
2.749399306,9.990461
