x,y
1.816617139,12.200446
2.910830978,10.567401
0.52336359,4.327978
1.427366346,5.984498
2.173443618,8.441462
2.628308016,9.459846
1.132511025,6.479105
1.922808607,10.049235
1.964031596,8.775958
1.518647378,7.326474
0.910043139,4.377036
2.148749041,9.00434
0.871560465,5.05542
0.588675698,2.649057
0.967735691,4.624347
2.521283686,8.867973
0.004785291,5.301955
0.495870255,3.851948
0.66449197,4.702853
0.706095344,4.724654
2.478035028,10.722705
0.941858819,4.898689
1.161056508,6.724598
1.594047979,5.817151
2.749399306,8.83773
