y,x1,x2,x3,x4,x5,x6,x7
0,-0.626453811,-1.24073335,1.228205519,0.893673702,1.07444096,0.07730312,-0.34106698
0,0.183643324,0.08423175,5.066619859,-1.047298149,1.89565477,-0.29686864,1.502424534
0,-0.835628612,-1.8218433,4.7597653,1.971337386,-0.6029973,-1.18324224,0.528307712
0,1.595280802,0.31605754,-0.992723402,-0.383632106,-0.39086782,0.01129269,0.542191355
1,0.329507772,-1.30916929,-6.855706606,1.654145302,-0.41622203,0.99160104,-0.136673356
1,-0.820468384,3.53457454,7.49298477,1.512212694,-0.37565742,1.59396745,-1.136733853
0,0.487429052,1.43341495,2.0011985,0.082965734,-0.36663095,-1.37271127,-1.496627154
0,0.738324705,1.82034846,1.623982008,0.567220915,-0.29567745,-0.24961093,-0.223385644
1,0.575781352,0.76837072,-0.040198569,-1.02454848,1.44182041,1.15942453,2.001719228
0,-0.305388387,3.36435216,1.530325269,0.323006503,-0.69753829,-1.11422235,0.221703816
0,1.511781168,-1.27147291,-0.493127495,1.043612458,-0.38816751,-2.52850069,0.164372909
0,0.389843236,-0.92328946,1.26208393,0.099078487,0.65253645,-0.93590256,0.332623609
0,-0.621240581,2.86456448,-1.200740232,-0.454136909,1.12477245,-0.96723946,-0.385207999
0,-2.214699887,-1.30139271,-4.110623633,-0.655781852,-0.7721108,0.04748859,-1.398754027
0,1.124930918,-0.41476149,2.963514802,-0.035922423,-0.50808622,-0.40373679,2.675740796
0,-0.044933609,-0.78561586,4.559235076,1.069161461,0.52362059,0.23149613,-0.423686089
0,-0.016190263,-0.63998574,-0.926221708,-0.48397493,1.01775423,-0.42237241,-0.298601512
0,0.943836211,-0.55822661,-3.759869267,-0.121010111,-0.25116459,0.37411839,-1.792341727
1,0.821221195,0.98837666,1.926723917,-1.294140004,-1.42999345,-0.36600577,-0.248008225
1,0.593901321,-0.35466096,-0.134127411,0.494312836,1.70912103,1.19010145,-0.247303918
0,0.918977372,-1.01191492,-5.19965522,1.30790152,1.43506957,-0.73732753,-0.255510379
1,0.782136301,2.68607765,0.006395579,1.497041009,-0.71037115,0.29066665,-1.7869381
0,0.074564983,-0.42915882,-1.890901002,0.814702731,-0.06506757,-0.88484957,1.784662816
0,-1.989351696,-0.35911306,-1.02290574,-1.86978879,-1.75946874,0.20800648,1.763586348
0,0.619825748,-0.20038148,-3.469717088,0.482029504,0.56972297,-0.04773017,0.689600222
0,-0.05612874,1.42533261,5.409425724,0.456135603,1.6123468,-1.68452065,-1.100740644
0,-0.155795507,-0.14712881,-0.993396109,-0.353400286,-1.63728065,-0.14422656,0.714509357
1,-1.470752384,-0.07526834,-4.816540237,0.170489471,-0.77956851,1.18021367,-0.246470317
0,-0.478150055,-1.36332096,0.591580316,-0.864035954,-0.64117693,0.68139992,-0.319786166
1,0.41794156,-0.64854054,0.789526939,0.679230774,-0.68113139,0.14324763,1.362644293
0,1.358679552,0.12032088,-2.957480101,-0.327101015,-2.0332856,-1.19231644,-1.22788259
0,-0.102787727,-1.17778897,-8.666762015,-1.569082185,0.50096356,1.16922865,-0.511219233
0,0.387671612,1.06299239,-1.921445108,-0.367450756,-1.53179814,0.07920171,-0.731194999
0,-0.053805041,-3.03678816,1.711522908,1.364434929,-0.02499764,-0.45177375,0.019752007
1,-1.377059557,0.61311572,-0.179169828,-0.334281365,0.59298472,1.64202821,-1.572863915
0,-0.414994563,-3.07289965,-0.294536232,0.732750042,-0.19819542,-0.76959232,-0.70333327
0,-0.394289954,-0.60195225,1.682462186,0.94658564,0.89200839,0.30336096,0.715932089
0,-0.059313397,-1.05655981,-3.559375916,0.004398704,-0.02571507,1.28173742,0.465214906
1,1.100025372,-1.30418956,3.290331133,-0.352322306,-0.64766045,0.6022228,-0.973902306
0,0.763175748,-0.11379356,-0.016032085,-0.529695509,0.64635942,-0.30702226,0.55921773
0,-0.164523596,-3.82871885,2.121932002,0.739589226,-0.43383274,-0.4184181,-2.432639745
1,-0.25336168,2.35316662,3.102323204,-1.063457415,1.77261118,0.35513553,-0.340484927
0,0.696963375,-3.32994487,0.670441245,0.246210844,-0.01825971,0.51348111,0.713033195
0,0.556663199,-0.9270608,-2.636122839,-0.289499367,0.85281499,0.0186074,-0.659037386
0,-0.688755695,-2.23184021,3.488893668,-2.264889356,0.2051629,1.31844897,-0.036402623
0,-0.707495157,-1.501638,-6.000494834,-1.408850456,-3.0080486,-0.065832,-1.593286302
1,0.364581962,4.17433309,-1.63437222,0.916019329,-1.36611193,-0.70029608,0.847792797
1,0.768532925,0.03479124,-0.767012127,-0.191278951,-0.42410226,0.53732613,-1.850388849
0,-0.112346212,-2.57260106,-0.49836311,0.803283216,0.23680366,-2.20178232,-0.323650632
0,0.881107726,-3.28121107,3.061391726,1.887474463,-2.34272312,0.39197374,-0.255248113
1,0.39810588,0.9003742,0.408665679,1.473881181,0.96169663,0.49696095,0.060921227
0,-0.612026393,-0.03711967,1.22150281,0.677268492,-0.60442573,-0.22487472,-0.823491629
0,0.341119691,-0.63613675,-0.208964439,0.379962687,-0.75287728,-1.11714317,1.829730485
0,-1.129363096,-1.85872429,-0.742993025,-0.192798426,-1.55561159,-0.3949946,-1.429916216
0,1.433023702,-2.97492062,2.08665242,1.577891795,-1.45389374,1.54983034,0.254137143
0,1.980399899,-2.15038459,3.438685072,0.596234109,0.05633184,-0.74351448,-2.939773695
0,-0.367221476,2.00005761,-7.209288645,-1.173576941,0.50936941,-2.33171212,0.002415809
1,-1.044134626,-1.24253339,1.718218666,-0.155642535,-2.09788296,0.81224544,0.509665571
0,0.569719627,-2.76885369,1.12417322,-1.91890982,-1.00436198,-0.50131066,-1.084720001
0,-0.135054604,3.73858124,-1.275803165,-0.195258846,0.53577172,-0.51088657,0.704832977
0,2.401617761,0.85020075,2.853038423,-2.59232767,-0.45303708,-1.21536404,0.33097635
0,-0.039240003,-0.4772942,-1.167711545,1.314002167,2.1653685,-0.02255863,0.976327473
1,0.689739362,2.1169661,-0.852991985,-0.635543001,1.24574667,0.7012393,-0.84333988
0,0.028002159,1.7728453,2.572229334,-0.429978839,0.59549803,-0.58748203,-0.970579905
0,-0.743273209,-1.2384861,5.158881897,-0.169318332,0.00488445,-0.60672794,-1.771531349
1,0.1887923,4.41220493,0.810164703,0.612218174,0.27936078,1.09664022,-0.322470342
0,-1.804958629,-0.51005406,-1.266552029,0.678340177,-0.70590613,-0.24750968,-1.338800742
0,1.465554862,-2.8489893,-3.567339885,0.567951972,0.62801715,-0.15990171,0.688156028
0,0.153253338,-0.2887992,-0.993098937,-0.572542604,1.48021396,-0.62577825,0.071280652
1,2.17261167,0.41507668,-2.81948798,-1.363291256,1.08342991,0.90043464,2.189752359
0,0.475509529,4.6159568,-0.776797749,-0.388722244,-0.81324426,-0.99419363,-1.157707599
0,-0.709946431,0.21160474,1.183137505,0.277914132,-1.61887685,0.84925039,1.181688064
